"type","value","context","description"
"md5","165be7620b78fe37cf25c797ee5b49e7","Cheeky Chipmunk  sample","Cheeky Chipmunk service loader"
"sha1","50c0bf9479efc93fa9cf1aa99bdca923273b71a1","Cheeky Chipmunk  sample","Cheeky Chipmunk service loader"
"sha256","22a8b4a7c7a467ea7fcf0a3930c99ecb482095093839683b400f58e2cdda176f","Cheeky Chipmunk  sample","Cheeky Chipmunk service loader"
"md5","38abeb8a68e9207da3e6ead88a9682ec","Cheeky Chipmunk  sample","Cheeky Chipmunk RPC server"
"sha1","52c8cbd0545caab7596c1382c7fc5a479209851d","Cheeky Chipmunk  sample","Cheeky Chipmunk RPC server"
"sha256","454e6c3d8c1c982cd301b4dd82ec3431935c28adea78ed8160d731ab0bed6cb7","Cheeky Chipmunk  sample","Cheeky Chipmunk RPC server"
"md5","b03caf2f86a6b7adc06550bf666309a4","Cheeky Chipmunk  sample","Cheeky Chipmunk RPC client"
"sha1","865f4c457bf86ff03456de828044f6ed6d6cf96a","Cheeky Chipmunk  sample","Cheeky Chipmunk RPC client"
"sha256","d86f7d63bf8faa7070ba096523cf114947b55570dc50b0583797c9897ba3559c","Cheeky Chipmunk  sample","Cheeky Chipmunk RPC client"
"md5","50c98af90563bae4f89219d50feba38f","Cheeky Chipmunk  sample","Cheeky Chipmunk RPC client DLL"
"sha1","5d5825b14377c5e5fe96816dd72a90bd13dc9fc8","Cheeky Chipmunk  sample","Cheeky Chipmunk RPC client DLL"
"sha256","722fa0c893b39fef787b7bc277c979d29adc1525d77dd952f0cc61cd4d0597cc","Cheeky Chipmunk  sample","Cheeky Chipmunk RPC client DLL"
"md5","48afbdc27f3ff243ac2689e2ebd9f33c","Cheeky Chipmunk  sample","Cheeky Chipmunk RPC client"
"sha1","7e4a6bac09ad214e98801bc199f96c265d7b6b48","Cheeky Chipmunk  sample","Cheeky Chipmunk RPC client"
"sha256","27e7d2054a68510c974add24f33c1c7ef06ef68028cca021cd6b5e67363e2bea","Cheeky Chipmunk  sample","Cheeky Chipmunk RPC client"
"filename","%PUBLIC%\NTUser.log","derived from Cheeky Chipmunk  sample MD5s: 38abeb8a68e9207da3e6ead88a9682ec","Name of the Cheeky Chipmunk log file that will be present on a victim machine"
"filename","%SYSTEMROOT%\security\database\securlsa.chk","derived from Cheeky Chipmunk  sample MD5s: 38abeb8a68e9207da3e6ead88a9682ec","Name of the RPC server that will be present on a victim machine"
"registry-value-name","\\HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Svchost\netsvcs\Pnrssp","derived from Cheeky Chipmunk  sample MD5s: 38abeb8a68e9207da3e6ead88a9682ec","Registry values required for the running of the service - this will be present on a victim machine"
"registry-value-name","\\HKLM\SYSTEM\CurrentControlSet\services\pnrssp\ServiceMain\ServiceMain","derived from Cheeky Chipmunk  sample MD5s: 38abeb8a68e9207da3e6ead88a9682ec","Registry values required for the running of the service - this will be present on a victim machine"
"registry-value-name","\\HKLM\SYSTEM\CurrentControlSet\services\pnrssp\ServiceDll\%SYSTEMROOT\security\database\securlsa.chk","derived from Cheeky Chipmunk  sample MD5s: 38abeb8a68e9207da3e6ead88a9682ec","Registry values required for the running of the service - this will be present on a victim machine"
"registry-value-name","\\HKLM\SYSTEM\CurrentControlSet\services\LanmanServer\Parameters\NullSessionPipes\Pnrsvc","derived from Cheeky Chipmunk  sample MD5s: 38abeb8a68e9207da3e6ead88a9682ec","NullSessionPipes registry value - this will be present on a victim machine"
